id,value
id_0,24.897836876803368
id_1,64.19399588842123
id_2,19.01879910135813
id_3,29.358218835624214
id_4,9.715304156753906
id_5,33.08488638570235
id_6,40.80956734715575
id_7,18.316858138388895
id_8,54.18480396660377
id_9,32.144113234049115
id_10,38.16911005222184
id_11,59.00940273142856
id_12,35.70073878689048
id_13,41.11644962841391
id_14,27.00165006662118
id_15,13.093096674394268
id_16,51.6195000758691
id_17,25.3836582747843
id_18,18.630102886061216
id_19,20.269925131793844
id_20,16.58211559917281
id_21,32.10564910073492
id_22,39.94133029795437
id_23,12.341468704080231
id_24,61.571768877166406
id_25,46.02644034810406
id_26,28.66440457834399
id_27,6.065002055202925
id_28,28.57108931071813
id_29,37.95868014991593
id_30,17.739290078833214
id_31,11.609782180686565
id_32,17.08087736985567
id_33,7.019792184685649
id_34,15.179074190191873
id_35,40.89698742199586
id_36,22.162080873510966
id_37,28.339178645278867
id_38,5.553381583565933
id_39,60.01537246227254
id_40,47.42177049824841
id_41,21.030196754359764
id_42,52.69998649696407
id_43,19.973689074462662
id_44,44.0467363868285
id_45,48.94374416754743
id_46,57.84052904009583
id_47,41.91104147649495
id_48,55.54008244226377
id_49,39.49082612848816
id_50,30.982174747878794
id_51,24.075994954195927
id_52,39.16949935359459
id_53,23.36225332706595
id_54,37.18460961157058
id_55,38.70186031105558
id_56,25.720095782420763
id_57,22.327854172911408
id_58,35.554327072747576
id_59,32.155485997032315
id_60,13.76883564812789
id_61,22.446584734073518
id_62,32.33232133319115
id_63,52.32865975289565
id_64,51.33984049948567
id_65,25.881765544687198
id_66,37.91884191018384
id_67,53.52311171986953
id_68,28.59960999560608
id_69,40.44268620768756
id_70,64.25783401291712
id_71,55.857983635487685
id_72,41.445394976467
id_73,13.618953695706264
id_74,13.489772871619241
id_75,35.85898427963272
id_76,62.97584861353833
id_77,3.3456481619973353
id_78,41.006642711980874
id_79,43.26774003173332
id_80,8.221287342196298
id_81,22.8958889035371
id_82,5.006597152999575
id_83,30.90963274456049
id_84,9.36810559772978
id_85,5.773798184051266
id_86,17.182083085643644
id_87,10.622860657620029
id_88,19.83160787724773
id_89,26.11263366418707
id_90,34.4563562507461
id_91,11.568045903341439
id_92,12.627080390617742
id_93,9.792501387119142
id_94,37.455785261166774
id_95,16.048134258809217
id_96,16.174035414468605
id_97,8.744804316955157
id_98,12.21316455012948
id_99,4.893595872172632
id_100,9.047979382481493
id_101,17.88558411667306
id_102,12.608453506847983
id_103,8.029857045516398
id_104,13.06134037675811
id_105,35.79974124882591
id_106,26.050995186368006
id_107,7.207519621335006
id_108,16.85581877397341
id_109,15.667728087131552
id_110,12.37116413139334
id_111,17.349340419803696
id_112,15.648644911889459
id_113,26.715733421229494
id_114,19.407165810486923
id_115,16.59837165666635
id_116,6.147864997768265
id_117,46.01870856549065
id_118,26.695806880323612
id_119,0.6709635770344633
id_120,-1.0610555318680213
id_121,9.10683756961042
id_122,12.889228857628154
id_123,13.409285061323697
id_124,7.3748313631140725
id_125,25.135154056706433
id_126,20.593848966019852
id_127,10.560664261863561
id_128,20.565986729770366
id_129,13.734592749942314
id_130,-0.9841170256597067
id_131,32.55722318705343
id_132,13.210397098396431
id_133,21.76267590997093
id_134,26.188064965182893
id_135,23.92010478230806
id_136,10.124574222591669
id_137,20.974810991088052
id_138,77.75815610516511
id_139,60.73321521406985
id_140,27.296934620385834
id_141,18.475479855636408
id_142,24.14576056424141
id_143,6.853542693589748
id_144,11.929596253203387
id_145,10.629836781920961
id_146,19.028408032028793
id_147,8.305803703385832
id_148,12.919369154216886
id_149,14.355416251120449
id_150,46.204495268549834
id_151,21.451126962860105
id_152,21.69982591939254
id_153,14.648496742101017
id_154,13.85571614425955
id_155,25.64427079882721
id_156,25.636909089690608
id_157,35.68742563518157
id_158,5.387286464306564
id_159,22.71909871075648
id_160,41.68791113716273
